Model;Region;Scenario;Variable;Unit;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
AIM/CGE;World;2C;Energy Supply|Electricity|Biomass|w/o CCS;Billion US$2015/yr;9,365564825;9,5310334;14,8246147;26,564106;100,132266;131,4719978;75,6795488;388,7197873;176,6944588;303,3532206;172,0070974;155,6665525;163,2366379;165,4639009;180,3393872;188,8730981;191,3084129;191,7085376
AIM/CGE;World;2C;Energy Supply|Electricity|Nuclear;Billion US$2015/yr;70,11375553;81,5768499;115,7499559;125,4861062;104,7321239;17,8147343;19,0404355;53,4631167;86,1351844;83,9785764;99,0877677;88,5379979;93,8285356;95,9055752;103,7761074;112,1060058;117,5795943;132,830313
AIM/CGE;World;2C;Energy Supply|Electricity|Hydro;Billion US$2015/yr;95,58553523;103,5485983;132,8566184;142,6167914;99,9694334;14,9251622;2,3068314;32,932839;62,6998992;63,1198073;71,4200306;70,1729155;75,0364796;75,533456;80,7348597;86,5048731;90,582971;102,1195194
AIM/CGE;World;2C;Energy Supply|Electricity|Solar;Billion US$2015/yr;13,34254455;20,4108164;165,8069581;294,5930876;557,3315315;201,6864367;184,1297562;304,3553259;323,2533644;321,2600238;319,5285415;285,592945;290,3729188;282,9882756;297,1834086;309,5027057;314,4817092;352,6938898
AIM/CGE;World;2C;Energy Supply|Electricity|Wind;Billion US$2015/yr;14,67564135;21,2851992;177,2048053;349,7999697;525,3390562;226,6567833;174,5805699;307,2173969;321,4553577;291,7808012;274,8125138;248,2875398;253,3417637;255,7953401;270,5391907;286,4361309;294,6882001;333,3545293
AIM/CGE;World;2C;Energy Supply|Electricity|Geothermal;Billion US$2015/yr;1,832817875;2,0419295;2,4857516;2,7071735;3,577317;2,5406451;2,1488903;2,6072782;3,349047;3,4647038;3,7814556;3,8019999;3,9973338;3,7778685;3,9905944;4,2009289;4,30452;4,6986662
AIM/CGE;World;2C;Energy Supply|Electricity|Ocean;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;2C;Energy Supply|Electricity|Transmission and Distribution;Billion US$2015/yr;309,3682438;329,6115535;709,88709;1038,872423;1580,49887;849,1221157;805,4444991;1272,977982;1327,779196;1369,395426;1287,688462;1200,548455;1233,958161;1235,063966;1302,222304;1360,560725;1397,284911;1508,760892
AIM/CGE;World;2C;Energy Supply|Electricity|Electricity Storage;Billion US$2015/yr;0;0;0;40,5290124;112,9696273;60,7696046;56,8599917;111,1421629;109,4514431;98,5055705;78,0704053;68,4471943;66,5582057;65,2143476;69,8204014;73,8271921;73,9158913;85,8225632
AIM/CGE;World;1.5C;Total energy investment;Billion US$2015/yr;1498,411185;1584,765805;2293,298364;2914,75764;3902,885597;3993,174454;5004,034079;5094,366162;5044,15611;4772,210073;4810,568919;4912,159824;5076,479997;5513,898001;5430,35986;5407,466046;5490,085899;7024,500413
AIM/CGE;World;1.5C;Total energy investment (supply side);Billion US$2015/yr;1277,411185;1345,115893;1994,505053;2520,790962;3384,857867;3351,900618;4237,996971;4208,462861;4061,705728;3718,217075;3701,716292;3757,709123;3882,395672;4278,830688;4156,546343;4100,93817;4155,57217;5649,280816
AIM/CGE;World;1.5C;Low carbon investment;Billion US$2015/yr;477,2559814;534,0822137;1281,644591;2097,435447;3319,6246;3428,287165;4350,170187;4828,156448;4588,992975;4239,810242;4174,211893;4259,483601;4468,859213;4993,999826;4775,868065;4711,810688;4821,896573;6599,957519
AIM/CGE;World;1.5C;Low carbon investment (supply side);Billion US$2015/yr;256,2559814;294,4323025;982,8512796;1703,468769;2801,59687;2787,013329;3584,133079;3942,253147;3606,542593;3185,817243;3065,359265;3105,0329;3274,774888;3758,932513;3502,054548;3405,282811;3487,382844;5224,737923
AIM/CGE;World;1.5C;Total_inv/GDP;--;2.40%;2.14%;2.68%;3.01%;3.63%;3.35%;3.83%;3.58%;3.25%;2.83%;2.62%;2.47%;2.36%;2.39%;2.19%;2.04%;1.93%;2.32%
AIM/CGE;World;1.5C;LC_inv/GDP;--;0.77%;0.72%;1.50%;2.17%;3.09%;2.88%;3.33%;3.39%;2.96%;2.51%;2.27%;2.14%;2.08%;2.16%;1.93%;1.77%;1.70%;2.18%
AIM/CGE;World;1.5C;Extraction and Conversion - Fossil Fuels;Billion US$2015/yr;543,8002838;568,7747066;359,3389382;262,157225;146,3480276;200,7204198;154,0132255;27,7958944;128,1306685;210,2763455;274,4697827;280,0658761;235,0095087;155,9578685;234,7153665;257,1366981;237,8447308;38,7408974
AIM/CGE;World;1.5C;Electricity - Fossil Fuels w/o CCS;Billion US$2015/yr;207,1841566;191,7452782;153,8687632;81,1348757;50,0448278;90,3404613;245,4343822;29,5049845;100,1150914;103,9297005;134,214064;140,8220457;121,9303118;82,583738;120,1162175;133,5489287;127,0472556;27,7613278
AIM/CGE;World;1.5C;Hydrogen - Fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
